question,answer,topic
"What services does Apollo Hospital provide?","Apollo Hospital provides outpatient consultations, emergency care, surgeries, diagnostics, pharmacy services, preventive health checkups, and specialty treatments across multiple departments.","General Hospital Information"
"What are the hospital's working hours?","Outpatient departments run during scheduled hours, usually from morning to evening. Emergency and pharmacy services operate 24/7.","General Hospital Information"
"How can I contact Apollo Hospital customer care?","You can contact customer care through the hospital's official helpline, website, or mobile app.","General Hospital Information"
"Does Apollo Hospital offer emergency services 24/7?","Yes, emergency, ICU, trauma care, and ambulance services operate round the clock.","General Hospital Information"
"What is the procedure to book an appointment?","Appointments can be booked online, through the mobile app, helpline, or by visiting the hospital reception.","General Hospital Information"
"How do I locate the nearest Apollo Hospital branch?","You can use the hospital website or app to find the nearest branch using your city or PIN code.","General Hospital Information"
"Are visitors allowed inside patient wards?","Yes, but visitor access depends on department rules and infection-control policies.","General Hospital Information"
"What are the hospital's visitor timings?","Visitor timings vary by department but are generally during limited hours in the morning and evening.","General Hospital Information"
"Does Apollo Hospital have pharmacy and diagnostic centers on-site?","Yes, most branches have in-house pharmacies and full laboratory and imaging facilities.","General Hospital Information"
"How can I provide feedback or file a complaint?","You can submit feedback via the app, website, patient relations desk, or feedback forms.","General Hospital Information"
"How do I book an appointment with a doctor?","Appointments can be booked online, via phone, or at the hospital reception.","Appointment & Consultation"
"Can I book appointments online or through the app?","Yes, the Apollo app and website support online booking and scheduling.","Appointment & Consultation"
"How do I reschedule or cancel my appointment?","You can reschedule or cancel through the app, website, or by calling support.","Appointment & Consultation"
"Will I receive a confirmation message after booking?","Yes, you typically receive SMS/email/app confirmation.","Appointment & Consultation"
"What documents should I bring for consultation?","Bring your ID proof, previous reports, prescriptions, and insurance details if applicable.","Appointment & Consultation"
"How early should I arrive before my appointment?","It is recommended to arrive 10–15 minutes early.","Appointment & Consultation"
"Can I choose a specific doctor or specialist?","Yes, you may choose based on availability and specialty.","Appointment & Consultation"
"Do I need a referral to see a specialist?","No referral is required unless your insurance demands it.","Appointment & Consultation"
"How long is the average waiting time?","It varies by department and doctor availability, generally 10–30 minutes.","Appointment & Consultation"
"Can international patients book virtual consultations?","Yes, online consultations are available for international patients.","Appointment & Consultation"
"Does Apollo Hospital accept health insurance?","Yes, Apollo accepts most major insurance providers.","Insurance, Billing & Payments"
"Which insurance providers are empanelled?","Empanelled insurers vary by branch; check with the insurance desk.","Insurance, Billing & Payments"
"How do I claim insurance for treatment?","Submit your insurance card and ID; the hospital team processes pre-authorization.","Insurance, Billing & Payments"
"Do I need pre-authorization for cashless treatment?","Yes, pre-authorization is usually required for cashless hospitalization.","Insurance, Billing & Payments"
"What payment modes are accepted?","Cash, UPI, cards, mobile banking, and online payments.","Insurance, Billing & Payments"
"Will I get a detailed bill breakdown?","Yes, itemized bills are provided.","Insurance, Billing & Payments"
"Are consultation charges refundable?","Refunds depend on the cancellation policy.","Insurance, Billing & Payments"
"Is EMI available for surgeries?","Some branches offer EMI through partnered finance companies.","Insurance, Billing & Payments"
"How do I get a duplicate invoice?","Request it at the billing counter or through customer support.","Insurance, Billing & Payments"
"Are diagnostic tests covered under insurance?","Only if prescribed during covered hospitalization, based on your policy.","Insurance, Billing & Payments"
"How can I access my medical reports online?","Reports are available on the Apollo app and patient portal.","Medical Records & Reports"
"How long does it take for diagnostic reports?","Most reports are ready within a few hours to 24 hours, depending on the test.","Medical Records & Reports"
"Can I download my prescriptions digitally?","Yes, digital prescriptions are available on the app.","Medical Records & Reports"
"How do I update my patient details?","Visit the registration desk or update through the app.","Medical Records & Reports"
"Can I request old medical records?","Yes, you can request them from the records department.","Medical Records & Reports"
"How secure is my medical data?","Patient data is stored securely following healthcare data standards.","Medical Records & Reports"
"Can someone else collect my report?","Yes, with authorization and proper ID proof.","Medical Records & Reports"
"How long are records stored?","Typically several years, as per regulatory guidelines.","Medical Records & Reports"
"How do I share my reports with another doctor?","You can download and share them digitally.","Medical Records & Reports"
"Can I get a second opinion?","Yes, you may request a second opinion online or in person.","Medical Records & Reports"
"What should I do in an emergency?","Visit the nearest Apollo emergency department or call the emergency helpline.","Emergency & Critical Care"
"Does Apollo provide ambulance services?","Yes, 24/7 ambulance services are available.","Emergency & Critical Care"
"How do I call for an ambulance?","Use the emergency hotline listed on the website or app.","Emergency & Critical Care"
"What services are available in emergency rooms?","Triage, trauma care, stabilization, diagnostics, and immediate treatment.","Emergency & Critical Care"
"Do I need an appointment for emergency care?","No, walk-in emergencies are always accepted.","Emergency & Critical Care"
"Are emergency treatments covered by insurance?","Coverage depends on your insurance policy.","Emergency & Critical Care"
"Does Apollo have trauma care units?","Yes, specialized trauma teams are available at major branches.","Emergency & Critical Care"
"What is the triage process?","Patients are prioritized based on severity of condition.","Emergency & Critical Care"
"Are ICU beds available 24/7?","Yes, ICU access is available around the clock.","Emergency & Critical Care"
"Can relatives stay in critical care areas?","Usually not inside, but waiting areas are provided.","Emergency & Critical Care"
"What is the process for admission?","Submit doctor advice, ID proof, and insurance details at the admission desk.","Inpatient Admission & Surgery"
